="Determinants of second childbirth (left: adjusted right: observed)"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="analysis time when record ends",="",="analysis time when record ends",="",="analysis time when record ends",="",="analysis time when record ends",=""
="妻下降婚",="0.495***",="(0.108)",="0.534**",="(0.184)",="",="",="",=""
="2015年調査ダミー",="0.095",="(0.102)",="0.090",="(0.103)",="0.091",="(0.102)",="0.093",="(0.103)"
="結婚年齢23-25歳",="-0.972***",="(0.111)",="-0.883***",="(0.113)",="-0.956***",="(0.112)",="-0.877***",="(0.113)"
="結婚年齢26-28歳",="-0.912***",="(0.125)",="-0.796***",="(0.129)",="-0.885***",="(0.128)",="-0.792***",="(0.129)"
="結婚年齢29-31歳",="-1.486***",="(0.220)",="-1.395***",="(0.222)",="-1.470***",="(0.221)",="-1.387***",="(0.222)"
="結婚年齢32歳以上",="-1.367***",="(0.258)",="-1.271***",="(0.259)",="-1.334***",="(0.259)",="-1.265***",="(0.259)"
="父親高等教育卒",="-0.118",="(0.137)",="0.008",="(0.143)",="-0.092",="(0.140)",="0.004",="(0.143)"
="父親最終学歴不明",="0.087",="(0.121)",="0.032",="(0.122)",="0.074",="(0.121)",="0.026",="(0.122)"
="結婚年コーホート（1950-1964年）",="-0.634***",="(0.171)",="-0.698***",="(0.174)",="-0.670***",="(0.171)",="-0.688***",="(0.174)"
="結婚年コーホート（1980-1994年）",="0.832***",="(0.113)",="0.924***",="(0.118)",="0.833***",="(0.113)",="0.927***",="(0.118)"
="結婚年コーホート（1995-2010年）",="1.282***",="(0.143)",="1.364***",="(0.148)",="1.320***",="(0.143)",="1.369***",="(0.148)"
="本人中学卒",="",="",="0.369",="(0.292)",="",="",="0.045",="(0.309)"
="本人高校卒",="",="",="0.079",="(0.210)",="",="",="0.022",="(0.283)"
="本人短大高専卒",="",="",="-0.114",="(0.205)",="",="",="-0.082",="(0.268)"
="配偶者中学卒",="",="",="0.276",="(0.250)",="",="",="0.914***",="(0.174)"
="配偶者高校卒",="",="",="0.398**",="(0.150)",="",="",="0.835***",="(0.156)"
="配偶者短大高専卒",="",="",="0.336",="(0.252)",="",="",="0.397",="(0.256)"
="低学歴同類婚",="",="",="",="",="-0.035",="(0.095)",="-0.392**",="(0.126)"
="高学歴同類婚",="",="",="",="",="-0.322#",="(0.190)",="0.052",="(0.297)"
="Observations",="130630",="",="130630",="",="130630",="",="130630",=""
="chi2",="266.024",="",="286.023",="",="250.064",="",="287.381",=""
="df_m",="11.000",="",="17.000",="",="12.000",="",="18.000",=""
="ll",="-4152.492",="",="-4142.493",="",="-4160.472",="",="-4141.814",=""
="aic",="8326.985",="",="8318.986",="",="8344.945",="",="8319.628",=""
="r2_p",="0.031",="",="0.033",="",="0.029",="",="0.034",=""
="Standard errors in parentheses"
="# p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
