="Determinants of second childbirth (left: adjusted right: observed)"
="",="(1)",="",="(2)",=""
="",="analysis time when record ends",="",="analysis time when record ends",=""
="妻下降婚",="0.971**",="(0.305)",="",=""
="結婚年コーホート（1950-1964年）",="-1.030#",="(0.541)",="-0.972#",="(0.539)"
="妻下降婚 # 結婚年コーホート（1950-1964年）",="0.130",="(0.514)",="",=""
="結婚年コーホート（1980-1994年）",="0.366",="(0.452)",="-0.922",="(0.743)"
="妻下降婚 # 結婚年コーホート（1980-1994年）",="-0.936*",="(0.434)",="",=""
="結婚年コーホート（1995-2010年）",="0.498",="(0.463)",="-0.567",="(0.784)"
="妻下降婚 # 結婚年コーホート（1995-2010年）",="-1.045#",="(0.567)",="",=""
="2015年調査ダミー",="0.145",="(0.103)",="0.146",="(0.103)"
="結婚年齢23-25歳",="-0.696***",="(0.111)",="-0.692***",="(0.111)"
="結婚年齢26-28歳",="-0.563***",="(0.124)",="-0.556***",="(0.124)"
="結婚年齢29-31歳",="-1.155***",="(0.218)",="-1.153***",="(0.218)"
="父親高等教育卒",="-0.011",="(0.143)",="-0.012",="(0.144)"
="父親最終学歴不明",="0.044",="(0.122)",="0.041",="(0.122)"
="本人中学卒",="0.496",="(0.464)",="-0.826",="(0.570)"
="本人高校卒",="0.086",="(0.401)",="-0.777",="(0.560)"
="本人短大高専卒",="-0.327",="(0.446)",="-0.923",="(0.572)"
="配偶者中学卒",="-0.499",="(0.367)",="0.485#",="(0.278)"
="配偶者高校卒",="-0.118",="(0.252)",="0.414",="(0.270)"
="配偶者短大高専卒",="0.146",="(0.494)",="0.338",="(0.492)"
="redu41marco3",="-0.061",="(0.672)",="1.665*",="(0.792)"
="redu41marco4",="-0.894",="(0.915)",="0.614",="(0.911)"
="redu42marco3",="-0.190",="(0.520)",="1.104",="(0.753)"
="redu42marco4",="-0.266",="(0.593)",="0.793",="(0.795)"
="redu43marco3",="0.398",="(0.543)",="1.329#",="(0.734)"
="redu43marco4",="0.191",="(0.566)",="0.887",="(0.717)"
="spedu41marco1",="0.340",="(0.645)",="0.230",="(0.660)"
="spedu41marco3",="1.640**",="(0.567)",="0.750#",="(0.392)"
="spedu41marco4",="1.890*",="(0.861)",="0.859",="(0.530)"
="spedu42marco1",="0.497",="(0.598)",="0.342",="(0.636)"
="spedu42marco3",="0.777*",="(0.351)",="0.385",="(0.366)"
="spedu42marco4",="1.355**",="(0.461)",="0.883#",="(0.509)"
="spedu43marco1",="0.994",="(0.862)",="0.891",="(0.860)"
="spedu43marco3",="0.301",="(0.618)",="-0.086",="(0.653)"
="spedu43marco4",="-0.056",="(0.907)",="-0.275",="(0.897)"
="低学歴同類婚",="",="",="-0.551**",="(0.199)"
="低学歴同類婚 # 結婚年コーホート（1950-1964年）",="",="",="0.155",="(0.395)"
="低学歴同類婚 # 結婚年コーホート（1980-1994年）",="",="",="0.401",="(0.307)"
="低学歴同類婚 # 結婚年コーホート（1995-2010年）",="",="",="0.494",="(0.509)"
="高学歴同類婚",="",="",="-1.027",="(0.643)"
="高学歴同類婚 # 結婚年コーホート（1980-1994年）",="",="",="1.561#",="(0.805)"
="高学歴同類婚 # 結婚年コーホート（1995-2010年）",="",="",="1.280",="(0.881)"
="Observations",="130630",="",="130630",=""
="chi2",="281.635",="",="284.185",=""
="df_m",="34.000",="",="37.000",=""
="ll",="-4144.687",="",="-4143.412",=""
="aic",="8357.374",="",="8360.824",=""
="r2_p",="0.033",="",="0.033",=""
="Standard errors in parentheses"
="# p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
